receipt_id,receipt_no,payment_date,receipt_total,detail_total,gap,member_id,notes
5044,RCV-231110002-172,2023-11-10,12000.00,.00,12000.00,NULL,BillInfoMId=172 VoucherNo=RCV-231110002
5045,RCV-231110003-173,2023-11-10,12000.00,.00,12000.00,NULL,BillInfoMId=173 VoucherNo=RCV-231110003
5049,RCV-250707001-213,2025-07-07,10200.00,4800.00,5400.00,2368,BillInfoMId=213 VoucherNo=RCV-250707001
5151,RCV-251007004-7243,2025-10-07,4800.00,.00,4800.00,NULL,BillInfoMId=7243 VoucherNo=RCV-251007004
5223,RCV-260206005-8310,2026-02-06,3000.00,.00,3000.00,NULL,BillInfoMId=8310 VoucherNo=RCV-260206005
5224,RCV-260206006-8311,2026-02-06,3000.00,.00,3000.00,NULL,BillInfoMId=8311 VoucherNo=RCV-260206006
5060,RCV-250813001-224,2025-08-13,7800.00,5400.00,2400.00,2386,BillInfoMId=224 VoucherNo=RCV-250813001
5219,RCV-260206001-8306,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8306 VoucherNo=RCV-260206001
5220,RCV-260206002-8307,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8307 VoucherNo=RCV-260206002
5221,RCV-260206003-8308,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8308 VoucherNo=RCV-260206003
5222,RCV-260206004-8309,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8309 VoucherNo=RCV-260206004
5225,RCV-260206007-8312,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8312 VoucherNo=RCV-260206007
5226,RCV-260206008-8313,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8313 VoucherNo=RCV-260206008
5227,RCV-260206009-8314,2026-02-06,2000.00,.00,2000.00,NULL,BillInfoMId=8314 VoucherNo=RCV-260206009
5123,RCV-250908033-5272,2025-09-08,1700.00,.00,1700.00,NULL,BillInfoMId=5272 VoucherNo=RCV-250908033
5124,RCV-250908034-5273,2025-09-08,2000.00,300.00,1700.00,2302,BillInfoMId=5273 VoucherNo=RCV-250908034
5092,RCV-250908002-5241,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5241 VoucherNo=RCV-250908002
5106,RCV-250908016-5255,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5255 VoucherNo=RCV-250908016
5113,RCV-250908023-5262,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5262 VoucherNo=RCV-250908023
5127,RCV-250908037-5276,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5276 VoucherNo=RCV-250908037
5130,RCV-250908040-5279,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5279 VoucherNo=RCV-250908040
5134,RCV-250908044-5283,2025-09-08,1000.00,.00,1000.00,NULL,BillInfoMId=5283 VoucherNo=RCV-250908044
5216,RCV-260204008-8303,2026-02-04,1000.00,.00,1000.00,NULL,BillInfoMId=8303 VoucherNo=RCV-260204008
5217,RCV-260204009-8304,2026-02-04,1000.00,.00,1000.00,NULL,BillInfoMId=8304 VoucherNo=RCV-260204009
5122,RCV-250908032-5271,2025-09-08,800.00,.00,800.00,NULL,BillInfoMId=5271 VoucherNo=RCV-250908032
5126,RCV-250908036-5275,2025-09-08,1300.00,500.00,800.00,2302,BillInfoMId=5275 VoucherNo=RCV-250908036
5078,RCV-250813019-242,2025-08-13,600.00,.00,600.00,NULL,BillInfoMId=242 VoucherNo=RCV-250813019
5088,RCV-250817001-3240,2025-08-17,600.00,.00,600.00,NULL,BillInfoMId=3240 VoucherNo=RCV-250817001
5089,RCV-250817002-3241,2025-08-17,600.00,.00,600.00,NULL,BillInfoMId=3241 VoucherNo=RCV-250817002
5125,RCV-250908035-5274,2025-09-08,1100.00,500.00,600.00,2302,BillInfoMId=5274 VoucherNo=RCV-250908035
5091,RCV-250908001-5240,2025-09-08,1000.00,500.00,500.00,2302,BillInfoMId=5240 VoucherNo=RCV-250908001
5093,RCV-250908003-5242,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5242 VoucherNo=RCV-250908003
5094,RCV-250908004-5243,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5243 VoucherNo=RCV-250908004
5095,RCV-250908005-5244,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5244 VoucherNo=RCV-250908005
5096,RCV-250908006-5245,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5245 VoucherNo=RCV-250908006
5097,RCV-250908007-5246,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5246 VoucherNo=RCV-250908007
5105,RCV-250908015-5254,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5254 VoucherNo=RCV-250908015
5108,RCV-250908018-5257,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5257 VoucherNo=RCV-250908018
5111,RCV-250908021-5260,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5260 VoucherNo=RCV-250908021
5112,RCV-250908022-5261,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5261 VoucherNo=RCV-250908022
5114,RCV-250908024-5263,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5263 VoucherNo=RCV-250908024
5115,RCV-250908025-5264,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5264 VoucherNo=RCV-250908025
5116,RCV-250908026-5265,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5265 VoucherNo=RCV-250908026
5117,RCV-250908027-5266,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5266 VoucherNo=RCV-250908027
5133,RCV-250908043-5282,2025-09-08,1000.00,500.00,500.00,2341,BillInfoMId=5282 VoucherNo=RCV-250908043
5140,RCV-250908050-5289,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5289 VoucherNo=RCV-250908050
5141,RCV-250908051-5290,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5290 VoucherNo=RCV-250908051
5142,RCV-250908052-5291,2025-09-08,1500.00,1000.00,500.00,2306,BillInfoMId=5291 VoucherNo=RCV-250908052
5146,RCV-250908056-5295,2025-09-08,500.00,.00,500.00,NULL,BillInfoMId=5295 VoucherNo=RCV-250908056
5150,RCV-251007003-7242,2025-10-07,4800.00,4300.00,500.00,2303,BillInfoMId=7242 VoucherNo=RCV-251007003
